0,1,2
2000.0,0.5643121928234494,0.06803309797804606
2315.7894736842104,0.8235834069578051,0.07405770373973383
2631.578947368421,1.2293283260815346,0.08560436042998268
2947.3684210526317,1.696419959170714,0.09417276596383659
3263.157894736842,2.1813526859833408,0.09878943846124638
3578.9473684210525,2.706758736155786,0.10190599379186831
3894.7368421052633,3.2394678625537767,0.1029860125363422
4210.526315789473,3.8617566729933435,0.10504440816701084
4526.315789473684,4.5068950704720585,0.10608367377005819
4842.105263157895,5.187742735026496,0.1067015634637127
5157.894736842105,5.966700110897279,0.10815586275803428
5473.684210526316,6.782853994655315,0.10917263609491658
5789.473684210527,7.607600628514701,0.10945367354553698
6105.263157894737,8.479829528818364,0.10970821528090331
6421.0526315789475,9.3985675716604,0.1099284270282188
6736.8421052631575,10.430829087816306,0.11083244065246389
7052.631578947368,11.541100724724094,0.11189370168118944
7368.421052631579,12.620078113625313,0.11209183492236192
7684.210526315789,13.748933141784123,0.11228746966859883
8000.0,14.929183456590172,0.11249076904494919
